iter	Passed	Remaining
0	1	151
1	2	128
2	3	110
3	4	96
4	4	87
5	5	80
6	5	75
7	6	73
8	6	69
9	7	67
10	8	65
11	8	64
12	9	63
13	10	63
14	11	63
15	12	63
16	13	64
17	13	63
18	14	63
19	16	65
20	17	64
21	17	63
22	18	62
23	19	62
24	20	60
25	21	60
26	22	59
27	23	59
28	23	58
29	24	57
30	25	56
31	26	55
32	27	54
33	27	53
34	28	53
35	29	52
36	30	51
37	30	50
38	31	49
39	32	49
40	33	48
41	34	47
42	34	46
43	35	45
44	36	44
45	36	43
46	37	42
47	38	41
48	39	40
49	39	39
50	40	39
51	41	38
52	42	37
53	43	36
54	43	35
55	44	34
56	45	34
57	45	33
58	46	32
59	47	31
60	48	30
61	48	29
62	49	29
63	50	28
64	50	27
65	51	26
66	52	25
67	53	25
68	53	24
69	54	23
70	55	22
71	56	21
72	57	21
73	57	20
74	58	19
75	59	18
76	59	17
77	60	17
78	61	16
79	62	15
80	62	14
81	63	13
82	64	13
83	65	12
84	65	11
85	66	10
86	67	10
87	68	9
88	69	8
89	70	7
90	70	7
91	71	6
92	72	5
93	73	4
94	73	3
95	74	3
96	75	2
97	76	1
98	76	0
99	77	0
