iter	Passed	Remaining
0	142	142083
1	144	71878
2	145	48293
3	146	36501
4	147	29437
5	149	24733
6	150	21391
7	151	18846
8	153	16892
9	155	15365
10	156	14102
11	158	13064
12	160	12152
13	161	11374
14	162	10688
15	164	10101
16	165	9566
17	166	9105
18	168	8688
19	169	8296
20	171	7978
21	172	7668
22	173	7374
23	174	7104
24	176	6864
25	176	6627
26	178	6419
27	179	6222
28	180	6037
29	181	5866
30	182	5700
31	183	5546
32	184	5413
33	185	5280
34	186	5154
35	188	5038
36	189	4929
37	190	4820
38	191	4716
39	192	4619
40	193	4525
41	194	4434
42	195	4350
43	196	4268
44	197	4195
45	199	4144
46	200	4074
47	202	4011
48	203	3947
49	204	3881
50	205	3821
51	206	3763
52	207	3707
53	208	3651
54	209	3596
55	210	3545
56	211	3496
57	212	3454
58	213	3410
59	215	3369
60	216	3328
61	217	3286
62	218	3245
63	219	3209
64	220	3173
65	221	3137
66	222	3101
67	223	3066
68	224	3030
69	225	2996
70	226	2964
71	227	2937
72	229	2910
73	230	2880
74	231	2849
75	232	2824
76	233	2798
77	234	2774
78	235	2749
79	236	2722
80	238	2700
81	238	2675
82	239	2647
83	240	2626
84	242	2605
85	243	2586
86	244	2565
87	245	2546
88	247	2529
89	248	2512
90	249	2490
91	250	2472
92	251	2453
93	252	2437
94	254	2421
95	255	2403
96	256	2383
97	256	2364
98	258	2348
99	259	2333
100	260	2317
101	261	2301
102	262	2285
103	263	2269
104	264	2254
105	265	2237
106	266	2221
107	267	2205
108	267	2190
109	268	2175
110	269	2162
111	271	2149
112	272	2137
113	273	2123
114	274	2112
115	275	2100
116	276	2087
117	277	2077
118	278	2065
119	279	2052
120	280	2040
121	281	2027
122	282	2014
123	283	2003
124	284	1990
125	285	1978
126	285	1964
127	286	1953
128	287	1942
129	288	1933
130	290	1925
131	291	1914
132	292	1903
133	292	1893
134	294	1885
135	294	1873
136	295	1863
137	296	1854
138	297	1843
139	298	1834
140	299	1824
141	300	1813
142	301	1805
143	302	1795
144	303	1790
145	304	1782
146	305	1773
147	306	1764
148	307	1756
149	309	1752
150	310	1746
151	311	1740
152	313	1734
153	314	1725
154	314	1717
155	315	1708
156	316	1701
157	317	1693
158	318	1685
159	319	1677
160	319	1667
161	320	1659
162	321	1651
163	322	1645
164	323	1637
165	324	1630
166	325	1622
167	326	1616
168	327	1609
169	328	1602
170	329	1596
171	331	1596
172	333	1591
173	334	1589
174	336	1585
175	337	1581
176	339	1577
177	340	1570
178	342	1568
179	343	1563
180	344	1561
181	346	1556
182	347	1549
183	348	1543
184	349	1540
185	350	1535
186	351	1529
187	352	1523
188	353	1517
189	354	1510
190	355	1506
191	356	1499
192	357	1493
193	358	1487
194	358	1481
195	359	1475
196	360	1469
197	361	1464
198	362	1458
199	363	1454
200	365	1451
201	366	1447
202	367	1442
203	368	1437
204	369	1431
205	370	1426
206	370	1421
207	371	1415
208	372	1410
209	373	1405
210	374	1400
211	375	1395
212	376	1389
213	376	1383
214	377	1379
215	379	1375
216	380	1371
217	381	1368
218	382	1364
219	383	1359
220	384	1354
221	385	1349
222	385	1344
223	386	1339
224	387	1334
225	388	1329
226	389	1324
227	389	1320
228	390	1316
229	391	1312
230	392	1307
231	393	1302
232	394	1298
233	395	1295
234	396	1291
235	397	1287
236	398	1283
237	399	1278
238	399	1273
239	400	1268
240	401	1264
241	402	1260
242	403	1256
243	404	1252
244	405	1248
245	405	1243
246	406	1239
247	407	1235
248	409	1233
249	410	1231
250	411	1228
251	412	1224
252	413	1221
253	414	1216
254	414	1212
255	415	1208
256	416	1204
257	417	1200
258	418	1197
259	419	1193
260	420	1189
261	421	1186
262	421	1182
263	422	1178
264	423	1174
265	424	1170
266	425	1167
267	426	1164
268	427	1160
269	427	1157
270	428	1153
271	429	1149
272	430	1145
273	431	1142
274	431	1138
275	432	1134
276	433	1131
277	434	1127
278	434	1123
279	435	1120
280	436	1116
281	437	1113
282	438	1110
283	439	1107
284	440	1104
285	441	1101
286	442	1099
287	443	1095
288	444	1092
289	444	1089
290	445	1085
291	446	1083
292	447	1079
293	448	1076
294	449	1073
295	449	1069
296	450	1066
297	451	1063
298	452	1060
299	453	1057
300	453	1053
301	454	1050
302	455	1047
303	456	1044
304	457	1041
305	457	1038
306	458	1035
307	459	1032
308	460	1028
309	461	1026
310	461	1023
311	462	1020
312	463	1017
313	464	1014
314	465	1011
315	465	1008
316	466	1005
317	467	1002
318	468	999
319	469	997
320	470	994
321	471	992
322	472	989
323	472	986
324	473	983
325	474	981
326	475	978
327	475	975
328	476	972
329	477	969
330	478	966
331	479	964
332	480	961
333	480	958
334	481	955
335	482	953
336	483	950
337	483	947
338	484	945
339	485	942
340	486	940
341	487	938
342	488	936
343	490	934
344	491	933
345	493	932
346	494	930
347	495	928
348	496	926
349	497	923
350	498	921
351	498	918
352	499	916
353	500	914
354	501	911
355	502	909
356	503	907
357	504	905
358	505	902
359	506	900
360	507	898
361	508	896
362	509	893
363	510	891
364	511	889
365	511	886
366	512	884
367	513	882
368	514	880
369	515	877
370	516	875
371	517	874
372	519	872
373	520	871
374	521	869
375	522	867
376	523	865
377	524	863
378	525	860
379	526	858
380	527	856
381	528	854
382	529	852
383	530	850
384	530	848
385	531	845
386	532	844
387	533	842
388	535	840
389	536	839
390	537	837
391	538	834
392	539	833
393	540	831
394	541	828
395	542	826
396	542	824
397	543	822
398	544	820
399	545	818
400	546	816
401	547	814
402	548	812
403	549	810
404	549	808
405	550	805
406	551	803
407	552	801
408	553	799
409	554	797
410	554	795
411	555	793
412	556	790
413	557	788
414	557	786
415	558	784
416	559	782
417	560	779
418	561	778
419	562	776
420	563	774
421	564	772
422	565	770
423	566	769
424	566	766
425	567	764
426	568	762
427	569	760
428	570	758
429	570	756
430	571	754
431	572	752
432	573	750
433	573	748
434	574	746
435	575	744
436	576	742
437	577	741
438	579	739
439	579	737
440	580	736
441	581	734
442	582	732
443	583	730
444	584	728
445	584	726
446	585	724
447	586	722
448	587	720
449	587	718
450	588	716
451	589	714
452	590	712
453	591	711
454	592	709
455	593	708
456	594	706
457	595	704
458	596	702
459	596	700
460	597	698
461	598	697
462	599	695
463	600	693
464	601	691
465	602	689
466	602	687
467	603	686
468	604	684
469	605	682
470	605	680
471	606	678
472	607	677
473	608	675
474	609	673
475	610	672
476	611	670
477	612	668
478	613	666
479	613	664
480	614	663
481	615	661
482	616	659
483	616	657
484	617	656
485	618	654
486	619	652
487	620	650
488	620	648
489	621	647
490	622	645
491	623	644
492	624	642
493	625	640
494	626	638
495	627	637
496	627	635
497	628	633
498	629	632
499	630	630
500	630	628
501	631	626
502	632	624
503	633	623
